ticker
FSLR
WAT
ULTA
BBY
BAC
EBAY
QCOM
CRM
EVRG
CLX
IBM
PKG
FRT
CCI
DRI
J
BXP
WDAY
XYZ
TRMB
ES
PCAR
MRSH
NRG
COHR
STZ
WDC
TEL
NDAQ
BEN
UDR
SHW
JBHT
AWK
EXPE
RTX
WY
CNC
NWSA
LHX
ZBH
IT
CINF
FDS
WEC
BMY
META
MRK
HUBB
ROST
EQIX
INTU
WSM
APH
GL
NCLH
TRV
ADP
KMI
FAST
KIM
IRM
TXN
GS
CRL
AZO
PAYX
EFX
EA
TMO
CDW
SATS
SLB
EPAM
AKAM
HLT
KKR
ETN
PRU
DPZ
FISV
TDY
WTW
LYV
NOW
BRK-B
V
CSGP
ACN
CMS
CMI
GWW
CPT
TECH
EIX
LULU
SPG
RVTY
ATO
GOOG
KMB
HSY
SNPS
DAL
BSX
CVS
EMR
ANET
PFE
BDX
TKO
RCL
HAL
FDX
DD
SO
HCA
NDSN
ELV
URI
DHR
AON
MDT
CFG
FIS
VTRS
TJX
SW
PCG
ESS
SNA
MKC
XEL
MDLZ
MOS
ERIE
EOG
F
TFC
HSIC
MET
BG
GNRC
WBD
IP
TYL
EW
CIEN
TMUS
LLY
BLDR
LNT
GPN
BK
DVA
APA
HRL
O
CDNS
INCY
FE
CPAY
WMB
MSI
PFG
FFIV
LII
EQT
MLM
PTC
AME
BAX
TXT
AOS
LIN
ECL
CPB
CRH
CME
AAPL
AVGO
DGX
PSX
HPE
ZTS
CF
CTSH
POOL
PLD
JNJ
SWKS
BRO
LH
CHRW
TROW
AIG
TSCO
NSC
HII
BR
SPGI
CBRE
ODFL
TER
KEYS
EL
NKE
TSN
ADM
APO
AXP
GM
VRTX
COO
DVN
TTWO
DLTR
NUE
MCHP
T
HAS
SBAC
DIS
ICE
STLD
NWS
CSCO
MSCI
RL
AMAT
LITE
GLW
BIIB
RMD
WM
HBAN
BLK
HD
JBL
PNR
CTAS
VMC
GD
AVB
DOC
REG
KLAC
TRGP
MPWR
MCO
APD
MGM
TAP
ARE
CASY
DXCM
PG
TT
NVR
MTD
UHS
NTRS
KO
BA
CAG
MAS
HIG
FTNT
ROL
PEP
CL
LRCX
UNP
XYL
MNST
PHM
DOV
OKE
VRSK
LEN
AMGN
PWR
NI
VRSN
MTB
CAT
ALGN
MAA
SJM
NTAP
ABBV
DE
EME
PANW
JCI
CVX
LDOS
ROP
PM
A
BF-B
PPL
COR
ZBRA
AMT
HPQ
GRMN
ORLY
NVDA
GOOGL
APTV
GDDY
HUM
PODD
DLR
MMM
MPC
CAH
PEG
NOC
CCL
IQV
FANG
ADBE
ROK
ALB
L
VZ
AJG
ALLE
MAR
GE
AIZ
VLO
ITW
CBOE
UAL
DECK
EXR
PNW
AEP
UPS
UNH
D
MO
AMP
INTC
SRE
ARES
COST
CMCSA
AES
CHD
SCHW
USB
XOM
CB
FITB
ADI
KHC
MCK
IVZ
ADSK
AMD
EQR
PGR
SYY
SBUX
AXON
IDXX
ABT
STT
WAB
LVS
SYF
WFC
DG
YUM
MS
ALL
PH
CSX
LUV
JKHY
OXY
PNC
WST
HST
EG
NXPI
LYB
REGN
NEE
AEE
MSFT
KDP
AMCR
ED
IBKR
LOW
GIS
EXPD
AFL
ISRG
CHTR
FIX
RF
AMZN
NFLX
KEY
LMT
MCD
DUK
MU
C
BX
ACGL
MA
WMT
TDG
COP
RSG
AVY
EXC
RJF
GEN
PSKY
IFF
HON
TPR
WRB
CMG
WELL
PYPL
VEEV
GPC
VTR
BALL
SMCI
CNP
NEM
ON
COF
FICO
STE
JPM
TGT
GILD
FCX
BKNG
ORCL
SWK
TPL
PPG
OMC
IEX
CPRT
STX
KR
DHI
WYNN
ETR
SYK
TSLA
CI
PSA
BKR
DTE
