n,k,top_eig_gap_bp,top_eig_match_rate,top_eig_runtime_ms,greedy_gap_bp,greedy_match_rate,greedy_runtime_ms,lasso_gap_bp,lasso_match_rate,lasso_runtime_ms,sa_gap_bp,sa_match_rate,sa_runtime_ms,slh_seed_gap_bp,slh_seed_match_rate,slh_seed_runtime_ms,slh_gap_bp,slh_match_rate,slh_runtime_ms
10,3,11.494328949048255,0.0,1.5270400326699018,0.03375647286164092,0.8,0.17730006948113441,3.0430200815803037,0.0,12.391300010494888,0.0,1.0,4.725219961255789,3.618202893349012,0.0,0.13865996152162552,0.0,1.0,0.07849999237805605
15,4,11.194472892199215,0.0,0.07668000180274248,0.12079207538960232,0.4,0.3118599997833371,1.9796568482285408,0.2,7.309960015118122,0.0,1.0,6.09915996901691,2.4098214746318183,0.0,0.1290400279685855,0.0009281731983890908,0.8,0.08233999833464622
20,5,13.982018182649323,0.0,0.13890000991523266,0.04507235536339969,0.4,0.5151200108230114,4.791357865828378,0.0,9.811740019358695,0.005623929826086525,0.8,7.797300000675023,3.85206637287878,0.0,0.18623997457325459,0.0,1.0,0.10926001705229282
30,5,16.638499471086668,0.0,0.7338199997320771,0.012942209872405208,0.8,0.8487599901854992,4.207866634973508,0.0,10.36771999206394,0.09946069187094812,0.4,8.330540009774268,3.573896594302127,0.0,0.1920799957588315,0.0,1.0,0.10083999950438738
50,5,21.854327506894045,0.0,0.7697000168263912,0.10599520097727821,0.2,1.414479990489781,6.321455341432136,0.0,14.382020034827292,0.3776052878213124,0.0,9.16378004476428,3.423152905517786,0.0,0.2463800134137273,0.0,1.0,0.14724000357091427
