n,k,inst,alg,sharpe_is,sharpe_oos,sharpe_oos_se,delta_rel,J,J_gap_bp,match_oracle,support
20,5,0,oracle,0.8588323781003038,0.45791959160781576,0.04686695301243988,0.46681144856146195,-0.0001349852788628278,0.0,1.0,"0,3,8,9,19"
20,5,0,slh,0.8588323781003038,0.45791959160781576,0.04686695301243988,0.46681144856146195,-0.0001349852788628278,0.0,1.0,"0,3,8,9,19"
20,5,0,topmu,0.9014084806693994,0.5352813418449274,0.04767482335818249,0.4061722811311699,-0.0002573159875297684,1.2233070866694058,0.0,"8,9,10,16,19"
20,5,0,eqn,0.48056880007979247,0.4226068406334007,0.046536038982759535,0.12061115793777687,,,,all-20
20,5,1,oracle,0.9770206934309424,-0.1694178036892792,0.04490660057890797,1.173402472259155,2.0312957885792798e-05,0.0,1.0,"2,7,10,12,14"
20,5,1,slh,0.9770206934309424,-0.1694178036892792,0.04490660057890797,1.173402472259155,2.0312957885792798e-05,0.0,1.0,"2,7,10,12,14"
20,5,1,topmu,1.1037145367337131,-0.04257691381908752,0.04460799874772122,1.0385760197968288,-0.0002391996293042264,2.595125871900192,0.0,"2,6,9,10,13"
20,5,1,eqn,0.659166628838923,0.5237352786901023,0.04754717906168834,0.20545844438055635,,,,all-20
20,5,2,oracle,0.8601708477997169,1.509607436596198,0.06521805154360011,-0.7550088339516671,-3.900803678273375e-05,0.0,1.0,"4,6,13,16,19"
20,5,2,slh,0.8601708477997169,1.509607436596198,0.06521805154360011,-0.7550088339516671,-3.900803678273375e-05,0.0,1.0,"4,6,13,16,19"
20,5,2,topmu,0.8607287936843661,0.8853411809934533,0.05260442617162369,-0.028594822770751538,-0.0002209828797855504,1.8197484300281666,0.0,"1,6,9,15,19"
20,5,2,eqn,0.5305046538704947,0.9229596488356804,0.05324326662343771,-0.7397767241095506,,,,all-20
20,5,3,oracle,0.8024707338596192,0.5492094459110679,0.047832035226555596,0.3156018995614309,-0.00011370209725514407,0.0,1.0,"1,3,7,10,17"
20,5,3,slh,0.8024707338596192,0.5492094459110679,0.047832035226555596,0.3156018995614309,-0.00011370209725514407,0.0,1.0,"1,3,7,10,17"
20,5,3,topmu,0.8169503426004695,0.6748362272608721,0.04940404211559546,0.1739568587329652,-0.00040922872190878273,2.955266246536387,0.0,"3,7,9,12,16"
20,5,3,eqn,0.41873127178036273,1.4844255434090818,0.06464091972510834,-2.545055369515626,,,,all-20
20,5,4,oracle,1.0213044662502357,0.7335461940405098,0.05022899864581762,0.28175561913113245,1.3561447958372694e-05,0.0,1.0,"3,12,15,16,18"
20,5,4,slh,1.0213044662502357,0.7335461940405098,0.05022899864581762,0.28175561913113245,1.3561447958372694e-05,0.0,1.0,"3,12,15,16,18"
20,5,4,topmu,1.06292038544362,0.6055917247011379,0.04850387184055874,0.4302567407733098,-0.0001843212373812248,1.978826853395975,0.0,"0,5,12,15,16"
20,5,4,eqn,0.7100277653825041,0.4317587276301979,0.04661947390097858,0.3919128959730158,,,,all-20
30,5,0,oracle,0.9760864171364743,0.6987607470976899,0.04973355030089179,0.2841199971334191,3.883239718171475e-05,0.0,1.0,"6,7,10,12,28"
30,5,0,slh,0.9760864171364743,0.6987607470976899,0.04973355030089179,0.2841199971334191,3.883239718171475e-05,0.0,1.0,"6,7,10,12,28"
30,5,0,topmu,0.8560321549194543,0.6524623631982193,0.049104375540342256,0.2378062442530436,-0.00044442440031540746,4.832567974971222,0.0,"6,10,18,23,24"
30,5,0,eqn,0.5922145135157778,0.4346415030253921,0.04664609402325573,0.26607421279652177,,,,all-30
30,5,1,oracle,1.039201064569128,-0.38033511990454477,0.046172108698895147,1.3659880006591782,8.024744943009143e-05,0.0,1.0,"1,2,20,25,26"
30,5,1,slh,1.039201064569128,-0.38033511990454477,0.046172108698895147,1.3659880006591782,8.024744943009143e-05,0.0,1.0,"1,2,20,25,26"
30,5,1,topmu,1.0509444617716281,-0.4645727419937561,0.04693199505290312,1.4420526097169808,-0.0001710467101156475,2.5129415954573893,0.0,"12,15,20,25,26"
30,5,1,eqn,0.6005729465806874,0.3390984355137498,0.045851646730737494,0.43537510731314355,,,,all-30
30,5,2,oracle,0.8864852193219116,1.2255734930037552,0.0590012163061053,-0.38250866037136894,1.8106726721143595e-05,0.0,1.0,"4,15,24,25,27"
30,5,2,slh,0.8864852193219116,1.2255734930037552,0.0590012163061053,-0.38250866037136894,1.8106726721143595e-05,0.0,1.0,"4,15,24,25,27"
30,5,2,topmu,0.8486668035109634,0.5313036432753673,0.0476305735023702,0.3739549596174304,-0.00037351537158032515,3.9162209830146875,0.0,"2,7,9,24,25"
30,5,2,eqn,0.5367001405491134,0.8027872246776657,0.0512708021895766,-0.4957835186260822,,,,all-30
30,5,3,oracle,1.1158152718382384,0.19532623659650342,0.04501106931122294,0.824947514587504,0.00015834553156435682,0.0,1.0,"6,12,19,24,28"
30,5,3,slh,1.1158152718382384,0.19532623659650342,0.04501106931122294,0.824947514587504,0.00015834553156435682,0.0,1.0,"6,12,19,24,28"
30,5,3,topmu,0.882706803649991,0.6753606067129388,0.049411164427477255,0.23489815200208722,-0.0014312509221207624,15.895964536851192,0.0,"2,11,12,14,20"
30,5,3,eqn,0.7388360954683157,0.8840613843826558,0.0525830265699592,-0.19655954792285577,,,,all-30
30,5,4,oracle,0.9337904441044966,0.6407091600879864,0.04895029559855119,0.31386194393708394,4.4780325852509595e-05,0.0,1.0,"7,8,21,22,29"
30,5,4,slh,0.9337904441044966,0.6407091600879864,0.04895029559855119,0.31386194393708394,4.4780325852509595e-05,0.0,1.0,"7,8,21,22,29"
30,5,4,topmu,0.9534737921097982,0.04995573462463158,0.044615605586507304,0.9476065991136557,-0.0003144895592170813,3.592698850695909,0.0,"5,22,24,26,29"
30,5,4,eqn,0.5777523029198582,0.7047010382980031,0.049816797104348935,-0.2197286531556315,,,,all-30
30,8,0,oracle,0.9066423463721001,0.5799862628113056,0.04819179773402113,0.3602921095268693,1.3918265898821107e-05,0.0,1.0,"5,12,13,16,17,18,25,29"
30,8,0,slh,0.9066423463721001,0.5799862628113056,0.04819179773402113,0.3602921095268693,1.3918265898821107e-05,0.0,1.0,"5,12,13,16,17,18,25,29"
30,8,0,topmu,0.8893293038368777,0.30236151416224044,0.04559549092280435,0.6600117494636158,-0.0004053034251095002,4.192216910083213,0.0,"1,4,5,8,12,13,16,22"
30,8,0,eqn,0.6523344686631514,0.20121861044338135,0.04503686284698543,0.6915407354516393,,,,all-30
30,8,1,oracle,0.9956979689557864,0.47439124743748445,0.04702952686623291,0.5235590889725421,0.00010285037102559201,0.0,1.0,"1,7,12,13,16,17,18,19"
30,8,1,slh,0.9956979689557864,0.47439124743748445,0.04702952686623291,0.5235590889725421,0.00010285037102559201,0.0,1.0,"1,7,12,13,16,17,18,19"
30,8,1,topmu,0.963110482224779,-0.16404184712644246,0.04488675531592703,1.1703250563190912,-9.027264581453853e-05,1.9312301684013053,0.0,"2,6,12,15,17,18,19,24"
30,8,1,eqn,0.7018418010840279,0.2891301733561629,0.04551010043599987,0.5880408192991816,,,,all-30
30,8,2,oracle,1.1014104379454697,0.5052274132047533,0.04734769176591617,0.5412905164153103,0.00017512741757874076,0.0,1.0,"5,9,12,15,16,21,26,29"
30,8,2,slh,1.1014104379454697,0.5052274132047533,0.04734769176591617,0.5412905164153103,0.00017512741757874076,0.0,1.0,"5,9,12,15,16,21,26,29"
30,8,2,topmu,0.9902053681715334,-0.28034025867875,0.04545540121523777,1.2831132487156813,-9.036448423191943e-05,2.654919018106602,0.0,"0,5,6,9,11,12,16,19"
30,8,2,eqn,0.6339973775761404,0.26335850942508343,0.04535433398057645,0.5846063110987313,,,,all-30
30,8,3,oracle,1.0441506353582954,-0.22113082574281667,0.045129577545960246,1.2117805786393423,5.7437894557341314e-05,0.0,1.0,"0,1,4,13,22,24,26,28"
30,8,3,slh,1.0441506353582954,-0.22113082574281667,0.045129577545960246,1.2117805786393423,5.7437894557341314e-05,0.0,1.0,"0,1,4,13,22,24,26,28"
30,8,3,topmu,1.03857745811448,0.6578339737800395,0.04917556426048627,0.366600951483844,-0.00034864893119268027,4.060868257500216,0.0,"0,1,4,17,21,27,28,29"
30,8,3,eqn,0.7176916176818523,0.6616500954492863,0.04922642989701382,0.07808579737015793,,,,all-30
30,8,4,oracle,0.9912066027389699,0.9789635404959953,0.05422845435791219,0.01235167543188644,8.662735353926854e-05,0.0,1.0,"4,9,15,17,18,19,23,24"
30,8,4,slh,0.9912066027389699,0.9789635404959953,0.05422845435791219,0.01235167543188644,8.662735353926854e-05,0.0,1.0,"4,9,15,17,18,19,23,24"
30,8,4,topmu,0.955386000136377,0.5003027715802169,0.047295682401335526,0.4763344119457466,-0.00021319018009858788,2.9981753363785644,0.0,"3,4,8,12,17,22,23,24"
30,8,4,eqn,0.6212550694242278,0.9918792110040259,0.054461254117233085,-0.5965732270374684,,,,all-30
40,5,0,oracle,1.0093964787614775,1.2670137258480383,0.0598650219773553,-0.25521908636203616,0.00013310766311725028,0.0,1.0,"2,10,11,24,31"
40,5,0,slh,1.0093964787614775,1.2670137258480383,0.0598650219773553,-0.25521908636203616,0.00013310766311725028,0.0,1.0,"2,10,11,24,31"
40,5,0,topmu,1.0235072567627825,0.6416726882328495,0.048962839794476125,0.37306483760322817,-0.00017620331161819088,3.0931097473544114,0.0,"0,8,10,23,31"
40,5,0,eqn,0.59562285153671,0.9290741573257304,0.05334887231001248,-0.5598363208005104,,,,all-40
40,5,1,oracle,1.1399569804537872,-0.41430614898373236,0.04646178430367952,1.3634401614162737,0.00016902505104294434,0.0,1.0,"7,9,25,35,38"
40,5,1,slh,1.1399569804537872,-0.41430614898373236,0.04646178430367952,1.3634401614162737,0.00016902505104294434,0.0,1.0,"7,9,25,35,38"
40,5,1,topmu,1.0820241265816226,0.2206031496930345,0.04512701039567081,0.7961199345988952,-6.314808465453605e-05,2.321731356974804,0.0,"7,12,20,22,38"
40,5,1,eqn,0.6408229926690829,0.4021130685379875,0.046355173467969704,0.3725052422617485,,,,all-40
40,5,2,oracle,0.9708996313160103,0.7563905840582745,0.050564671457986286,0.2209384372378209,4.9298367620054e-05,0.0,1.0,"12,16,20,28,33"
40,5,2,slh,1.001127287758819,0.39160009209333846,0.04626561992028059,0.6088408568205179,4.9196676543398826e-05,0.0010169107665517537,0.0,"5,10,28,30,33"
40,5,2,topmu,0.9337735703713681,0.6071367593772787,0.04852306787386586,0.34980301580412443,-0.0006103357862157406,6.596341538357946,0.0,"4,5,12,21,30"
40,5,2,eqn,0.5908246094286311,0.8667851282328833,0.0522963384609968,-0.4670768861018254,,,,all-40
40,5,3,oracle,1.1269545598321478,0.3324905935896527,0.04580351756684872,0.7049653948432713,0.00013482420660146637,0.0,1.0,"4,21,24,29,32"
40,5,3,slh,1.1269545598321478,0.3324905935896527,0.04580351756684872,0.7049653948432713,0.00013482420660146637,0.0,1.0,"4,21,24,29,32"
40,5,3,topmu,0.9738207044159538,0.600091003111017,0.04843586495491951,0.38377670510618284,-0.0006591159252349015,7.93940131836368,0.0,"0,4,12,29,32"
40,5,3,eqn,0.7069795441799261,0.7720103543275447,0.05079878823233581,-0.09198400531241997,,,,all-40
40,5,4,oracle,1.1847613742749896,0.753128064303152,0.05051624033925065,0.36432088295921533,0.0002151448101529469,0.0,1.0,"5,14,19,33,38"
40,5,4,slh,1.1847613742749896,0.753128064303152,0.05051624033925065,0.36432088295921533,0.0002151448101529469,0.0,1.0,"5,14,19,33,38"
40,5,4,topmu,1.1085551181355922,0.3782103618800533,0.04615475607974499,0.6588258394258816,-6.1488231336160465e-06,2.2129363328656297,0.0,"19,27,29,33,38"
40,5,4,eqn,0.7207740337869419,0.7355516536361627,0.05025814311601726,-0.020502430937445474,,,,all-40
50,5,0,oracle,1.11754935492692,0.7142348552292616,0.04995158121251599,0.3608918907425189,0.0001345362847135007,0.0,1.0,"2,17,18,23,37"
50,5,0,slh,1.11754935492692,0.7142348552292616,0.04995158121251599,0.3608918907425189,0.0001345362847135007,0.0,1.0,"2,17,18,23,37"
50,5,0,topmu,1.0975381364757144,-0.017300073714893074,0.044591132280780314,1.015762617388809,-0.00035340920054642653,4.879454852599272,0.0,"10,14,18,23,36"
50,5,0,eqn,0.6510072611760321,0.4612530250312405,0.04689943508225088,0.2914779104030334,,,,all-50
50,5,1,oracle,1.2657578286181932,0.5339579227700003,0.04766006892847775,0.5781515936955228,0.00023549606653517025,0.0,1.0,"11,28,37,41,49"
50,5,1,slh,1.2657578286181932,0.5339579227700003,0.04766006892847775,0.5781515936955228,0.00023549606653517025,0.0,1.0,"11,28,37,41,49"
50,5,1,topmu,1.1586277869648212,0.00878185804726507,0.04458865586268459,0.9924204665673776,-0.00017289288092176783,4.083889474569381,0.0,"8,16,28,31,37"
50,5,1,eqn,0.6210337918885352,0.22120212729225372,0.045129924887996886,0.6438162783065504,,,,all-50
50,5,2,oracle,1.247298387765326,0.7847103764044001,0.05099185580741916,0.3708719708919883,0.00019453515850456822,0.0,1.0,"6,17,20,33,39"
50,5,2,slh,1.247298387765326,0.7847103764044001,0.05099185580741916,0.3708719708919883,0.00019453515850456822,0.0,1.0,"6,17,20,33,39"
50,5,2,topmu,1.2387021504038989,0.378945432220629,0.046160749041673374,0.694078651516777,-4.5805256519291376e-05,2.403404150238596,0.0,"5,6,20,36,47"
50,5,2,eqn,0.6386456947725142,0.6799422208446434,0.049473584972457615,-0.06466265475544938,,,,all-50
50,5,3,oracle,1.1220622230196033,0.6347998158529832,0.04887370430377408,0.43425613764568144,0.0001499393441503743,0.0,1.0,"3,6,8,13,24"
50,5,3,slh,1.1220622230196033,0.6347998158529832,0.04887370430377408,0.43425613764568144,0.0001499393441503743,0.0,1.0,"3,6,8,13,24"
50,5,3,topmu,1.0329277562725372,0.765455021967709,0.05070008284267454,0.2589462164034013,-0.000416329415594433,5.662687597448073,0.0,"6,7,22,24,25"
50,5,3,eqn,0.5720295910881068,0.6699852367234457,0.04933836813279628,-0.17124226991301095,,,,all-50
50,5,4,oracle,1.040215285532154,0.8747439875423005,0.05242790224810245,0.1590740881155208,8.356925956850008e-05,0.0,1.0,"6,25,31,33,43"
50,5,4,slh,1.040215285532154,0.8747439875423005,0.05242790224810245,0.1590740881155208,8.356925956850008e-05,0.0,1.0,"6,25,31,33,43"
