n,k,inst,alg,J,gap_bp,sharpe_train,sharpe_test,runtime_s
20,5,0,oracle,-0.0001349852788628278,0.0,0.8588323781003038,0.45791959160781576,0.006504799937829375
20,5,0,top-eig,-0.0018250645341680643,16.900792553052366,0.31800166502445043,0.7256596459788344,0.00016330007929354906
20,5,0,greedy,-0.00014400748373345426,0.09022204870626455,0.8037963079335362,0.5837461335465207,0.0006981000769883394
20,5,0,lasso,-0.0004778881671789974,3.429028883161696,0.6002969851606114,-0.11144614468082696,0.014616700005717576
20,5,0,SA-1ch-10k,-0.0001349852788628278,0.0,0.8588323781003038,0.45791959160781576,0.10128240007907152
20,5,1,oracle,2.031295788579269e-05,0.0,0.9770206934309424,-0.1694178036892792,0.007876999909058213
20,5,1,top-eig,-0.0008243967192864132,8.447096771722059,0.7283507691935964,0.252986817763513,0.0001599999377503991
20,5,1,greedy,2.031295788579269e-05,0.0,0.9770206934309424,-0.1694178036892792,0.00066509994212538
20,5,1,lasso,-0.0004293109271920571,4.496238850778498,0.9636988997143863,0.22648933768844906,0.035693799960426986
20,5,1,SA-1ch-10k,2.031295788579269e-05,0.0,0.9770206934309424,-0.1694178036892792,0.08880849997512996
20,5,2,oracle,-3.900803678273375e-05,0.0,0.8601708477997169,1.509607436596198,0.005228099995292723
20,5,2,top-eig,-0.0018547973242007956,18.157892874180618,0.25589975377202645,1.0051151083685639,0.00013899989426136017
20,5,2,greedy,-4.0836303470305566e-05,0.018282666875718168,0.8002271064177297,1.6404183065000764,0.0005255999276414514
20,5,2,lasso,-0.0010407096707137427,10.017016339310091,0.5388196412054131,0.9990641632979742,0.026029199943877757
20,5,2,SA-1ch-10k,-3.900803678273375e-05,0.0,0.8601708477997169,1.509607436596198,0.07948910002596676
20,5,3,oracle,-0.00011370209725514407,0.0,0.8024707338596192,0.5492094459110679,0.005339200026355684
20,5,3,top-eig,-0.002055371585922008,19.416694886668637,0.20984888053186784,0.9805488658402152,0.00015050009824335575
20,5,3,greedy,-0.00011370209725514407,0.0,0.8024707338596192,0.5492094459110679,0.0006799999391660094
20,5,3,lasso,-0.0012487760908271184,11.350739935719744,0.24383869278023004,0.5613188063662485,0.006490999949164689
20,5,3,SA-1ch-10k,-0.00011370209725514407,0.0,0.8024707338596192,0.5492094459110679,0.07491419999860227
20,5,4,oracle,1.3561447958372586e-05,0.0,1.0213044662502357,0.7335461940405098,0.004816500004380941
20,5,4,top-eig,-0.0006851999348039213,6.987613827622939,0.8139861924195654,0.6391772722898149,0.00012700003571808338
